# duration_ms: 36301
# ingress_avg: 28.780
# throughput_avg: 28.780
# capacity_avg: 37.116
# utilization: 77.541
seconds,ingress,throughput,capacity
0.0,0.1696,0.1696,75.8016
0.01,0.0,0.0,75.8016
0.02,0.0,0.0,64.9728
0.03,0.0,0.0,69.7856
0.04,0.0,0.0,70.9888
0.05,0.0,0.0,68.5824
0.06,0.0,0.0,77.0048
0.07,0.0,0.0,73.3952
0.08,0.064,0.064,73.3952
0.09,0.0,0.0,74.5984
0.1,0.0,0.0,74.5984
0.11,0.0,0.0,66.176
0.12,0.0,0.0,69.7856
0.13,0.0,0.0,70.9888
0.14,0.0,0.0,68.5824
0.15,0.0,0.0,74.5984
0.16,0.0,0.0,74.5984
0.17,0.0,0.0,73.3952
0.18,0.0,0.0,73.3952
0.19,0.0,0.0,77.0048
0.2,0.0,0.0,66.176
0.21,0.064,0.064,69.7856
0.22,0.0,0.0,70.9888
0.23,0.0,0.0,68.5824
0.24,0.0,0.0,73.3952
0.25,0.0,0.0,73.3952
0.26,0.0,0.0,73.3952
0.27,0.0,0.0,74.5984
0.28,0.0,0.0,78.208
0.29,0.0,0.0,66.176
0.3,0.0,0.0,69.7856
0.31,0.0,0.0,70.9888
0.32,0.0,0.0,68.5824
0.33,0.0,0.0,70.9888
0.34,0.0,0.0,74.5984
0.35,0.0,0.0,73.3952
0.36,0.0,0.0,73.3952
0.37,0.0,0.0,78.208
0.38,0.0,0.0,68.5824
0.39,0.0,0.0,69.7856
0.4,0.0,0.0,70.9888
0.41,0.0,0.0,68.5824
0.42,0.0,0.0,69.7856
0.43,0.0,0.0,73.3952
0.44,0.0,0.0,73.3952
0.45,0.0,0.0,74.5984
0.46,0.0,0.0,77.0048
0.47,0.0,0.0,70.9888
0.48,0.0,0.0,69.7856
0.49,0.0,0.0,69.7856
0.5,0.0,0.0,69.7856
0.51,0.0,0.0,67.3792
0.52,0.0,0.0,74.5984
0.53,0.0,0.0,73.3952
0.54,0.0,0.0,73.3952
0.55,0.0,0.0,78.208
0.56,0.0,0.0,72.192
0.57,0.0,0.0,69.7856
0.58,0.0,0.0,69.7856
0.59,0.0,0.0,69.7856
