delaytimes_ms,delay_ms
0.008,1.0
0.086,1.0
0.214,1.0
4.266,1.0
6.002,1.0
6.012,1.5454545454545454
6.013,2.9411764705882355
6.014,4.0
6.015,3.2
6.016,3.2
6.017,3.5454545454545454
6.018,4.0
6.019,3.0
6.02,2.5
6.021,2.0
6.022,1.8181818181818181
6.023,2.6923076923076925
6.024,4.421052631578948
6.025,6.066666666666666
6.026,7.866666666666666
6.027,9.705882352941176
6.028,11.5
6.029,13.38888888888889
6.03,15.142857142857142
6.031,17.0
6.032,19.22222222222222
6.033,21.523809523809526
6.034,23.863636363636363
6.035,26.565217391304348
6.036,29.434782608695652
6.037,31.761904761904763
6.038,34.21052631578947
6.039,36.42857142857143
6.04,38.53333333333333
6.041,40.388888888888886
6.042,42.578947368421055
6.043,45.09090909090909
6.044,47.523809523809526
6.045,49.72222222222222
6.103,1.0
6.113,1.0
6.123,1.0
6.133,1.0
6.144,1.0
6.154,2.5833333333333335
6.155,4.178571428571429
6.156,5.689655172413793
6.157,7.9655172413793105
6.158,10.666666666666666
6.159,11.0
6.16,10.142857142857142
6.161,10.0
6.162,10.0
6.163,10.0
6.164,10.92
6.165,14.0
6.166,16.107142857142858
6.167,17.612903225806452
6.168,20.933333333333334
6.169,23.566666666666666
6.17,24.0
6.171,24.310344827586206
6.172,27.482758620689655
6.173,30.166666666666668
6.174,31.0
6.175,30.5
6.176,31.9
6.177,35.65625
6.178,38.142857142857146
6.179,39.51724137931034
6.18,42.51724137931034
6.181,45.08
6.182,46.2962962962963
6.183,48.37931034482759
6.184,51.69230769230769
6.185,53.17857142857143
6.186,54.75
6.187,57.724137931034484
6.188,60.32258064516129
6.189,61.96551724137931
6.19,63.76923076923077
6.191,67.0
6.192,68.92857142857143
6.193,70.25925925925925
6.194,72.64
6.195,75.48148148148148
6.196,76.88461538461539
6.197,78.64516129032258
6.198,82.21428571428571
6.199,83.93103448275862
6.2,85.56666666666666
6.201,89.13333333333334
6.202,91.32142857142857
6.203,92.74074074074075
6.204,94.71428571428571
6.205,98.14814814814815
6.206,99.875
6.315,1.0
6.325,1.0
6.336,1.0
6.346,1.0
6.356,1.0
6.366,2.0
6.367,4.142857142857143
6.368,5.75
6.369,8.705882352941176
6.37,12.074074074074074
6.371,12.8125
6.372,13.166666666666666
6.373,13.421052631578947
6.374,14.5625
6.375,16.761904761904763
6.376,19.03125
6.377,20.741935483870968
6.378,23.903225806451612
6.379,26.91176470588235
6.38,28.84375
6.381,31.235294117647058
6.382,32.0
6.383,31.333333333333332
6.384,31.2
6.385,31.333333333333332
6.386,31.625
6.387,32.166666666666664
6.388,32.22222222222222
6.389,33.869565217391305
6.39,36.19047619047619
6.391,36.2
6.392,36.54545454545455
6.393,37.266666666666666
6.394,37.8
6.395,39.13333333333333
6.396,40.76923076923077
6.397,42.0
6.398,42.0
6.399,41.8
6.4,42.5
6.401,44.130434782608695
6.402,46.80952380952381
6.403,48.0
6.404,48.9
6.405,49.8421052631579
6.406,51.46153846153846
6.407,52.666666666666664
6.408,53.142857142857146
6.409,53.25
6.41,53.30769230769231
6.411,54.04
6.412,56.73913043478261
6.413,58.82608695652174
6.414,59.611111111111114
6.415,60.30434782608695
6.416,61.3125
6.417,62.93333333333333
6.418,64.21428571428571
6.419,65.13333333333334
6.42,65.3076923076923
6.421,65.61111111111111
6.422,66.4
6.423,68.2
6.424,70.375
6.425,71.58333333333333
6.426,72.28571428571429
6.427,72.875
6.428,74.28571428571429
6.429,75.66666666666667
6.43,76.0
6.431,75.93333333333334
6.432,76.41176470588235
6.433,77.05263157894737
6.434,79.1
6.435,81.16666666666667
6.436,82.33333333333333
6.437,83.5
6.438,85.58333333333333
6.439,88.25
6.44,89.15384615384616
6.441,89.4375
6.442,89.58333333333333
6.443,89.66666666666667
6.444,92.3125
6.445,94.91304347826087
6.548,1.0
6.558,1.0
6.568,1.0
6.578,1.0
6.588,1.0
6.598,1.0
6.599,2.806451612903226
6.6,6.129032258064516
6.601,8.0
6.602,10.53125
6.603,14.375
6.604,16.53125
6.605,18.78125
6.606,22.166666666666668
6.607,23.79310344827586
6.608,25.379310344827587
6.609,28.8
6.61,31.035714285714285
6.611,32.53333333333333
6.612,35.81818181818182
6.613,38.93939393939394
6.614,40.5
6.615,42.26923076923077
6.616,45.9375
6.617,48.09375
6.618,50.07142857142857
6.619,53.4
6.62,55.44827586206897
6.621,57.0
6.622,60.214285714285715
6.623,62.46153846153846
6.624,64.03030303030303
6.625,67.45454545454545
6.626,70.38709677419355
6.627,72.09375
6.628,74.93939393939394
6.629,78.7
6.63,80.1923076923077
6.631,82.0
6.632,85.58620689655173
6.633,87.46666666666667
6.634,89.2
6.635,93.0
6.636,95.33333333333333
6.637,97.51515151515152
6.638,101.3103448275862
6.639,103.13793103448276
6.64,104.42307692307692
6.641,106.52
6.642,109.64
6.643,110.0
6.649,105.30434782608695
6.65,106.56666666666666
6.651,109.5925925925926
6.652,111.11111111111111
6.659,105.5909090909091
6.66,107.0
6.661,110.53125
6.662,112.0
6.669,105.5
6.67,106.19354838709677
6.671,108.2258064516129
6.672,110.33333333333333
6.79,1.0
6.801,1.0
6.811,1.0
6.821,1.0
6.831,1.0
6.841,1.0
6.842,1.903225806451613
6.843,3.6666666666666665
6.844,7.066666666666666
6.845,9.379310344827585
6.846,10.785714285714286
6.847,13.838709677419354
6.848,16.8125
6.849,18.606060606060606
6.85,22.06896551724138
6.851,24.64516129032258
6.852,26.393939393939394
6.853,28.93103448275862
6.854,32.51851851851852
6.855,34.03448275862069
6.856,35.793103448275865
6.857,39.333333333333336
6.858,41.4
6.859,43.25
6.86,47.03125
6.861,49.42424242424242
6.862,51.29032258064516
6.863,55.096774193548384
6.864,57.07692307692308
6.865,58.21739130434783
6.866,59.857142857142854
6.867,63.41379310344828
6.868,65.46428571428571
6.869,67.1875
6.87,70.8125
6.871,73.39393939393939
6.872,75.375
6.873,79.27272727272727
6.874,81.41935483870968
6.875,83.20689655172414
6.876,86.51851851851852
6.877,88.66666666666667
6.878,90.10714285714286
6.879,92.48275862068965
6.88,95.96551724137932
6.881,97.96969696969697
6.882,100.06451612903226
6.883,103.9090909090909
6.884,106.08823529411765
6.885,108.75
6.886,111.41666666666667
6.892,107.16666666666667
6.893,117.1
6.894,141.83333333333334
6.902,157.6
6.903,195.5151515151515
6.904,256.75757575757575
6.905,303.5
6.912,317.125
6.913,351.6896551724138
6.914,407.4516129032258
6.915,439.0
7.367,1.0
7.377,1.0
7.387,3.0
7.397,3.0
7.408,4.0
7.418,23.90909090909091
7.419,78.74285714285715
7.42,129.77777777777777
7.421,185.1081081081081
7.422,246.19444444444446
7.423,307.6216216216216
7.424,359.32
7.425,408.09375
7.426,464.030303030303
7.427,510.05
7.428,554.0540540540541
7.429,575.4444444444445
7.43,579.6764705882352
7.431,584.1428571428571
7.432,587.95
7.433,591.9473684210526
7.434,598.28
7.435,603.0263157894736
7.436,608.25
7.437,611.952380952381
7.438,615.5555555555555
7.439,619.75
7.44,623.7567567567568
7.441,626.7567567567568
7.442,629.6666666666666
7.443,633.5263157894736
7.444,638.7837837837837
7.445,644.3076923076923
7.446,649.5142857142857
7.447,653.5
7.448,657.8918918918919
7.449,661.9130434782609
7.45,663.6666666666666
7.459,656.0
7.469,646.8
7.479,637.5
7.489,628.5
7.499,619.6666666666666
7.509,610.0
7.51,610.0
7.52,600.5
7.53,591.5714285714286
7.54,582.8
7.55,573.0
7.551,573.0
7.56,564.8333333333334
7.57,555.75
7.58,546.0
7.581,545.75
7.59,537.0
7.591,536.8333333333334
7.601,527.5
7.611,518.6666666666666
7.621,509.2
7.631,500.3333333333333
7.641,491.2
7.642,491.0
7.651,482.3333333333333
8.137,1.0
8.147,1.0
8.157,1.0
8.167,1.0
8.177,1.0
8.187,1.0
8.188,2.7
8.189,4.575757575757576
8.19,6.766666666666667
8.191,10.4
8.192,12.225806451612904
8.193,13.608695652173912
8.194,16.0
8.195,19.24137931034483
8.196,21.0
8.197,23.21875
8.198,26.903225806451612
8.199,28.87878787878788
8.2,31.3125
8.201,35.0
8.202,36.77777777777778
8.203,38.6
8.204,42.1
8.205,43.96551724137931
8.206,45.333333333333336
8.207,48.0
8.208,51.484848484848484
