# duration_ms: 31817
# ingress_avg: 33.844
# throughput_avg: 33.773
# capacity_avg: 37.102
# utilization: 91.028
seconds,ingress,throughput,capacity
1.0,0.86936,0.616688,5.017344
2.0,68.774912,67.643904,68.678656
3.0,5.7152,4.824832,4.824832
4.0,67.848864,68.751264,68.76288
5.0,5.799424,4.897024,4.897024
6.0,67.92064,68.774912,68.774912
7.0,5.907712,4.909056,4.909056
8.0,67.571712,68.798976,68.798976
9.0,6.003968,4.93312,4.93312
10.0,67.92064,68.630528,68.630528
11.0,5.655456,4.969216,4.969216
12.0,54.661376,55.600288,68.690688
13.0,5.967872,5.017344,5.017344
14.0,67.752192,68.678656,68.678656
15.0,6.052096,4.969216,4.969216
16.0,67.812352,68.750848,68.750848
17.0,5.498624,4.69248,4.69248
18.0,68.004864,68.798976,68.798976
19.0,5.65504,4.897024,4.897024
20.0,67.908608,68.726784,68.726784
21.0,5.89568,4.945152,4.945152
22.0,52.242944,53.289728,68.738816
23.0,5.811456,4.848896,4.848896
24.0,67.788288,68.750848,68.750848
25.0,6.016,5.017344,5.017344
26.0,67.643904,68.726784,68.726784
27.0,5.956256,4.969632,4.981248
28.0,67.848448,68.654592,68.654592
29.0,5.751296,4.945152,4.945152
30.0,68.089088,68.786944,68.786944
31.0,4.475904,3.741952,3.741952
